customer_id_mock,customer_segment,top_5_components
"DEMO-V2-001","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-002","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":4,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-003","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-004","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-005","Active Redeemers","[{""hub_component"":""sparks_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-006","Cashback Trackers","[{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":2,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""charity"",""rank"":5,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-007","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-008","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""banners"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-009","Cashback Trackers","[{""hub_component"":""sparks_offers"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
"DEMO-V2-010","Cashback Trackers","[{""hub_component"":""sparks_wallet"",""rank"":5,""score"":0,""source"":""illustrative""},{""hub_component"":""sparks_offers"",""rank"":4,""score"":0,""source"":""illustrative""},{""hub_component"":""prize_draws"",""rank"":3,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_wallet"",""rank"":1,""score"":0,""source"":""illustrative""},{""hub_component"":""credit_card_offers"",""rank"":2,""score"":0,""source"":""illustrative""}]"
